id,title,avgscore,areaname,backCateName
1653011,星巴克（北京太阳宫凯德嘉茂店）,4.1,亮马桥/三元桥,咖啡厅
50133603,星巴克臻选（北京朝阳大悦城店）,4.3,青年路,咖啡厅
194450121,星巴克（北京大学医学部产业楼店）,4.0,学院桥/学院路,咖啡厅
193812958,星巴克（北京王府井in88店）,4.3,王府井/东单,咖啡厅
1638878875,星巴克（北京锋创科技园店）,4.1,次渠,咖啡厅
1100099641,星巴克（北京朝阳站店）,3.7,姚家园,咖啡厅
266387,星巴克（北京金码大厦店）,4.2,五道口,咖啡厅
175358970,星巴克（北京东北旺西路第三店）,4.4,上地,咖啡厅
84137706,星巴克（北京首都国际机场9店）,4.1,首都机场,咖啡厅
84084327,星巴克（北京望京华彩店）,4.3,望京,咖啡厅
1997602631,星巴克（北京西站第二店）,4.0,六里桥/丽泽桥,咖啡厅
263781,星巴克臻选（北京西单汉光百货商场店）,4.1,西单,咖啡厅
182468825,星巴克（北京乐成中心店）,4.2,双井,咖啡厅
175355686,星巴克（北京花园闸路店）,4.4,高碑店,咖啡厅
769336869,星巴克（北京八达岭店）,4.3,八达岭,咖啡厅
88443820,星巴克（西单君太店）,4.3,西单,咖啡厅
51673666,星巴克（北京成寿寺路店）,4.5,方庄/蒲黄榆,咖啡厅
1359737882,星巴克（北京常营华联购物中心店）,4.0,常营,咖啡厅
289049,星巴克（北京华宇时尚店）,3.8,双榆树,咖啡厅
175358769,星巴克臻选（北京颐堤港中心第二店）,4.4,酒仙桥,咖啡厅
274034,星巴克（大恒科技大厦店）,4.3,苏州桥,咖啡厅
1721084693,星巴克（北京三里屯三点三大厦店）,4.3,三里屯/工体,咖啡厅
41275591,星巴克（北京黄平路店）,4.2,回龙观,咖啡厅
52000939,星巴克（北京新东安）,4.2,王府井/东单,咖啡厅
1856773841,星巴克（北京玲珑天地店）,4.4,四季青,咖啡厅
4219143,星巴克（北京王府井店）,4.3,王府井/东单,咖啡厅
1672270428,星巴克（北京中骏世界城店）,3.9,门头沟城区,咖啡厅
1429240757,星巴克（北京金隅智造工场店）,4.4,西三旗,咖啡厅
1764318032,星巴克（北京国际财经中心店）,4.2,航天桥,咖啡厅
86083685,星巴克（远洋店）,4.0,鲁谷,咖啡厅
1782512044,星巴克（北京大兴吉嘉港店）,4.3,黄村,咖啡厅
1772574896,星巴克（北京公益西桥物美店）,4.4,草桥/公益西桥,咖啡厅
1231203516,星巴克（北京亿方大厦店）,4.4,苏州桥,咖啡厅
120342793,星巴克（北京科学院南路店）,4.3,中关村,咖啡厅
4648666,星巴克（北京东直门银座店）,4.3,东直门,咖啡厅
515628,星巴克（北京首都国际机场2店）,4.3,首都机场,咖啡厅
860313272,星巴克（北京梅源商厦店）,4.2,南苑/德茂桥,咖啡厅
280795,星巴克（北京万达广场店）,4.2,大望路,咖啡厅
160313756,星巴克（大兴绿地缤纷城店）,4.4,黄村,咖啡厅
4648666,星巴克（北京东直门银座店）,4.3,东直门,咖啡厅
515628,星巴克（北京首都国际机场2店）,4.3,首都机场,咖啡厅
860313272,星巴克（北京梅源商厦店）,4.2,南苑/德茂桥,咖啡厅
160313756,星巴克（大兴绿地缤纷城店）,4.4,黄村,咖啡厅
1524023284,星巴克臻选（北京通州爱琴海店）,4.4,新华大街,咖啡厅
1081773501,星巴克（北京华润时代中心店）,4.0,高碑店,咖啡厅
6110805,星巴克（南锣鼓巷店）,4.3,地安门,咖啡厅
1706242139,星巴克（北京市中国建筑研究院店）,3.8,西直门/动物园,咖啡厅
175354090,星巴克（北京北太平庄路店）,4.4,牡丹园/北太平庄,咖啡厅
42003072,星巴克（北京宏福路店）,4.1,西红门,咖啡厅
1449883271,星巴克（北京万科泊寓店）,4.5,方庄/蒲黄榆,咖啡厅
291049,星巴克臻选（北京富力家园店）,4.3,双井,咖啡厅
182613843,星巴克（首钢店）,4.5,石景山区,咖啡厅
40833271,星巴克（北京翠景北里店）,4.3,九棵树,咖啡厅
50854043,星巴克（北京惠新东街店）,4.3,对外经贸,咖啡厅
1739958854,星巴克（北京南站第八店）,3.8,北京南站/开阳里,咖啡厅
652089316,星巴克（北京德外合生财富广场店）,4.0,德外大街,咖啡厅
72971453,星巴克（北京丰葆路店）,4.4,总部基地,咖啡厅
96639919,星巴克（北京旧宫万科店）,4.3,旧宫,咖啡厅
1000367700,星巴克（北京石景山金融街中心店）,4.3,古城/八角,咖啡厅
1734015491,星巴克（北京郭公庄北京方向店）,4.4,世界公园,咖啡厅
184179852,星巴克（北京中粮置地广场店）,4.2,雍和宫/地坛,咖啡厅
63142144,星巴克（北京常通路第一店）,4.3,常营,咖啡厅
369094,星巴克（北京文化园东路店）,4.3,亦庄,咖啡厅
505633906,星巴克（北京石景山银保园店）,3.9,八大处,咖啡厅
692631781,星巴克（北京通明湖信创园店）,3.8,次渠,咖啡厅
1645492,星巴克（北京广渠门名敦道店）,4.1,广渠门外,咖啡厅
179542776,星巴克（北京万科时代广场店）,4.3,十里堡,咖啡厅
40385992,星巴克（新顺南大街店）,4.3,顺义城区,咖啡厅
713054545,星巴克（北京航空科技大厦店）,4.0,北苑家园,咖啡厅
1651166034,星巴克（北京航港国际大厦店）,4.2,首都机场,咖啡厅
42467337,星巴克（北京新源南路店）,4.3,亮马桥/三元桥,咖啡厅
89444535,星巴克（北京朝外悠唐第二店）,4.1,悠唐生活广场,咖啡厅
1699983016,星巴克（北京金融街购物中心店）,4.1,金融街,咖啡厅
150018367,星巴克臻选（北京西单大悦城二店）,4.4,西单,咖啡厅
1140560910,星巴克（北京方庄时代中心店）,4.4,方庄/蒲黄榆,咖啡厅
513604983,星巴克（北京领展购物广场店）,4.3,中关村,咖啡厅
586080,星巴克（北京庄胜崇光店）,4.2,宣武门,咖啡厅
6274172,星巴克（北京南站第七店）,4.1,北京南站/开阳里,咖啡厅
159608506,星巴克臻选（国贸商城四店）,4.5,国贸/建外,咖啡厅
